,orderid,customerid,employeeid,orderdate,shippeddate,shipvia,freight,productid,unitprice,quantity,discount
0,10248,VINET,5,1996-07-04,1996-07-16,3,32.38,11,14,12,0
1,10248,VINET,5,1996-07-04,1996-07-16,3,32.38,42,9.8,10,0
2,10248,VINET,5,1996-07-04,1996-07-16,3,32.38,72,34.8,5,0
3,10249,TOMSP,6,1996-07-05,1996-07-10,1,11.61,14,18.6,9,0
4,10249,TOMSP,6,1996-07-05,1996-07-10,1,11.61,51,42.4,40,0
5,10250,HANAR,4,1996-07-08,1996-07-12,2,65.83,41,7.7,10,0
6,10250,HANAR,4,1996-07-08,1996-07-12,2,65.83,51,42.4,35,0.15
7,10250,HANAR,4,1996-07-08,1996-07-12,2,65.83,65,16.8,15,0.15
8,10251,VICTE,3,1996-07-08,1996-07-15,1,41.34,22,16.8,6,0.05
9,10251,VICTE,3,1996-07-08,1996-07-15,1,41.34,57,15.6,15,0.05
10,10251,VICTE,3,1996-07-08,1996-07-15,1,41.34,65,16.8,20,0
11,10252,SUPRD,4,1996-07-09,1996-07-11,2,51.3,20,64.8,40,0.05
12,10252,SUPRD,4,1996-07-09,1996-07-11,2,51.3,33,2,25,0.05
13,10252,SUPRD,4,1996-07-09,1996-07-11,2,51.3,60,27.2,40,0
14,10253,HANAR,3,1996-07-10,1996-07-16,2,58.17,31,10,20,0
15,10253,HANAR,3,1996-07-10,1996-07-16,2,58.17,39,14.4,42,0
16,10253,HANAR,3,1996-07-10,1996-07-16,2,58.17,49,16,40,0
17,10254,CHOPS,5,1996-07-11,1996-07-23,2,22.98,24,3.6,15,0.15
18,10254,CHOPS,5,1996-07-11,1996-07-23,2,22.98,55,19.2,21,0.15
19,10254,CHOPS,5,1996-07-11,1996-07-23,2,22.98,74,8,21,0
20,10255,RICSU,9,1996-07-12,1996-07-15,3,148.33,2,15.2,20,0
21,10255,RICSU,9,1996-07-12,1996-07-15,3,148.33,16,13.9,35,0
22,10255,RICSU,9,1996-07-12,1996-07-15,3,148.33,36,15.2,25,0
23,10255,RICSU,9,1996-07-12,1996-07-15,3,148.33,59,44,30,0
24,10256,WELLI,3,1996-07-15,1996-07-17,2,13.97,53,26.2,15,0
25,10256,WELLI,3,1996-07-15,1996-07-17,2,13.97,77,10.4,12,0
26,10257,HILAA,4,1996-07-16,1996-07-22,3,81.91,27,35.1,25,0
27,10257,HILAA,4,1996-07-16,1996-07-22,3,81.91,39,14.4,6,0
28,10257,HILAA,4,1996-07-16,1996-07-22,3,81.91,77,10.4,15,0
29,10258,ERNSH,1,1996-07-17,1996-07-23,1,140.51,2,15.2,50,0.2
30,10258,ERNSH,1,1996-07-17,1996-07-23,1,140.51,5,17,65,0.2
