Date,Product,Category,Price,Quantity,Customer_Age,Customer_Gender,Location
2023-01-01,Widget A,Electronics,29.99,3,35,M,New York
2023-01-02,Gadget B,Electronics,49.99,2,28,F,Los Angeles
2023-01-03,Tool C,Hardware,15.50,5,42,M,Chicago
2023-01-04,Widget A,Electronics,29.99,1,55,F,Houston
2023-01-05,Gadget B,Electronics,49.99,4,31,M,Miami
2023-01-06,Accessory D,Fashion,9.99,10,22,F,Seattle
2023-01-07,Tool C,Hardware,15.50,2,48,M,Boston
2023-01-08,Widget A,Electronics,29.99,5,39,F,Denver
2023-01-09,Gadget B,Electronics,49.99,1,26,M,San Francisco
2023-01-10,Accessory D,Fashion,9.99,8,33,F,Atlanta
2023-01-11,Tool C,Hardware,15.50,3,51,M,Dallas
2023-01-12,Widget A,Electronics,29.99,2,29,F,Phoenix
2023-01-13,Gadget B,Electronics,49.99,3,44,M,Philadelphia
2023-01-14,Accessory D,Fashion,9.99,15,20,F,San Diego
2023-01-15,Tool C,Hardware,15.50,4,37,M,Washington D.C.
2023-01-16,Widget A,Electronics,29.99,6,46,F,Las Vegas
2023-01-17,Gadget B,Electronics,49.99,2,30,M,Portland
2023-01-18,Accessory D,Fashion,9.99,12,25,F,Austin
2023-01-19,Tool C,Hardware,15.50,7,53,M,Detroit
2023-01-20,Widget A,Electronics,29.99,4,38,F,San Antonio
